DayNum,DATE,TotalCases,DailyIncrease,AVGIncrease
1,2020/03/15 10:00:00+00,1,0,0
2,2020/03/16 10:00:00+00,1,0,0
3,2020/03/17 10:00:00+00,1,0,0
4,2020/03/18 10:00:00+00,4,3,0
5,2020/03/19 10:00:00+00,8,4,1
6,2020/03/20 10:00:00+00,11,3,1
7,2020/03/21 10:00:00+00,15,4,2
8,2020/03/22 10:00:00+00,24,9,3
9,2020/03/23 10:00:00+00,31,7,4
10,2020/03/24 10:00:00+00,41,10,5
11,2020/03/25 10:00:00+00,53,12,7
12,2020/03/26 10:00:00+00,72,19,9
13,2020/03/27 10:00:00+00,88,16,11
14,2020/03/28 10:00:00+00,112,24,13
15,2020/03/29 10:00:00+00,129,17,15
16,2020/03/30 10:00:00+00,152,23,17
17,2020/03/31 10:00:00+00,187,35,20
18,2020/04/01 10:00:00+00,221,34,24
19,2020/04/02 10:00:00+00,265,44,27
20,2020/04/03 10:00:00+00,313,48,32
21,2020/04/04 10:00:00+00,343,30,33
22,2020/04/05 10:00:00+00,394,51,37
23,2020/04/06 10:00:00+00,435,41,40
24,2020/04/07 10:00:00+00,459,24,38
25,2020/04/08 10:00:00+00,571,112,50
26,2020/04/09 10:00:00+00,638,67,53
27,2020/04/10 10:00:00+00,689,51,53
28,2020/04/11 10:00:00+00,756,67,59
29,2020/04/12 10:00:00+00,812,56,59
30,2020/04/13 10:00:00+00,873,61,62
31,2020/04/14 10:00:00+00,962,89,71
32,2020/04/15 10:00:00+00,1060,98,69
33,2020/04/16 10:00:00+00,1160,100,74
34,2020/04/17 10:00:00+00,1273,113,83
35,2020/04/18 10:00:00+00,1378,105,88
36,2020/04/19 10:00:00+00,1392,14,82
37,2020/04/20 10:00:00+00,1511,119,91
38,2020/04/21 10:00:00+00,1542,31,82
39,2020/04/22 10:00:00+00,1602,60,77
40,2020/04/23 10:00:00+00,1672,70,73
41,2020/04/24 10:00:00+00,1728,56,65
42,2020/04/25 10:00:00+00,1791,63,59
43,2020/04/26 10:00:00+00,1866,75,67
44,2020/04/27 10:00:00+00,1933,67,60
45,2020/04/28 10:00:00+00,1977,44,62
46,2020/04/29 10:00:00+00,2014,37,58
47,2020/04/30 10:00:00+00,2068,54,56
48,2020/05/01 10:00:00+00,2162,94,62
49,2020/05/02 10:00:00+00,2237,75,63
50,2020/05/03 10:00:00+00,2319,82,64
51,2020/05/04 10:00:00+00,2411,92,68
52,2020/05/05 10:00:00+00,2609,198,90
53,2020/05/06 10:00:00+00,2752,143,105
54,2020/05/07 10:00:00+00,2856,104,112
55,2020/05/08 10:00:00+00,2941,85,111
56,2020/05/09 10:00:00+00,3208,267,138
57,2020/05/10 10:00:00+00,3317,109,142
58,2020/05/11 10:00:00+00,3353,36,134
59,2020/05/12 10:00:00+00,3404,51,113
60,2020/05/13 10:00:00+00,3476,72,103
61,2020/05/14 10:00:00+00,3505,29,92
62,2020/05/15 10:00:00+00,3606,101,95
63,2020/05/16 10:00:00+00,3719,113,73
64,2020/05/17 10:00:00+00,3798,79,68
65,2020/05/18 10:00:00+00,3830,32,68
66,2020/05/19 10:00:00+00,4002,172,85
67,2020/05/20 10:00:00+00,4152,150,96
68,2020/05/21 10:00:00+00,4339,187,119
69,2020/05/22 10:00:00+00,4492,153,126
70,2020/05/23 10:00:00+00,4673,181,136
71,2020/05/24 10:00:00+00,4782,109,140
72,2020/05/25 10:00:00+00,4888,106,151
73,2020/05/26 10:00:00+00,4997,109,142
74,2020/05/27 10:00:00+00,5054,57,128
75,2020/05/28 10:00:00+00,5203,149,123
76,2020/05/29 10:00:00+00,5426,223,133
77,2020/05/30 10:00:00+00,5564,138,127
78,2020/05/31 10:00:00+00,5664,100,126
79,2020/06/01 10:00:00+00,5604,-60,102
80,2020/06/02 10:00:00+00,5688,84,98
81,2020/06/03 10:00:00+00,5801,113,106
82,2020/06/04 10:00:00+00,5906,105,100
83,2020/06/05 10:00:00+00,6038,132,87
84,2020/06/06 10:00:00+00,6141,103,82
85,2020/06/07 10:00:00+00,6229,88,80
86,2020/06/08 10:00:00+00,6296,67,98
87,2020/06/09 10:00:00+00,6355,59,95
88,2020/06/10 10:00:00+00,6428,73,89
89,2020/06/11 10:00:00+00,6509,81,86
90,2020/06/12 10:00:00+00,6559,50,74
91,2020/06/13 10:00:00+00,6633,74,70
92,2020/06/14 10:00:00+00,6689,56,65
93,2020/06/15 10:00:00+00,6747,58,64
94,2020/06/16 10:00:00+00,6782,35,61
95,2020/06/17 10:00:00+00,6866,84,62
96,2020/06/18 10:00:00+00,6906,40,56
97,2020/06/19 10:00:00+00,6938,32,54
98,2020/06/20 10:00:00+00,6993,55,51
99,2020/06/21 10:00:00+00,7053,60,52
100,2020/06/22 10:00:00+00,7095,42,49
101,2020/06/23 10:00:00+00,7148,53,52
102,2020/06/24 10:00:00+00,7210,62,49
103,2020/06/25 10:00:00+00,7258,48,50
104,2020/06/26 10:00:00+00,7299,41,51
105,2020/06/27 10:00:00+00,7363,64,52
106,2020/06/28 10:00:00+00,7416,53,51
107,2020/06/29 10:00:00+00,7498,82,57
