RowID,DayNum,CrimeDateTime,CrimeCode,Weapon,Gender,Age,District,GeoLocation
1,1,2020/03/15 00:00:00+00,2A,OTHER,F,30,S,"(39.2514,-76.615)"
2,1,2020/03/15 00:00:00+00,4E,NA,F,34,C,"(39.29,-76.6059)"
3,1,2020/03/15 00:00:00+00,4E,NA,F,22,S,"(39.2768,-76.6144)"
4,1,2020/03/15 00:00:00+00,4E,NA,F,26,C,"(39.3068,-76.6203)"
5,1,2020/03/15 00:30:00+00,3AJF,FIREARM,M,57,E,"(39.3145,-76.6111)"
6,1,2020/03/15 00:30:00+00,6D,NA,M,23,W,"(39.3073,-76.6383)"
7,1,2020/03/15 01:08:00+00,4B,KNIFE,M,25,N,"(39.3143,-76.6162)"
8,1,2020/03/15 01:15:00+00,9S,FIREARM,M,20,E,"(39.3109,-76.5916)"
9,1,2020/03/15 01:15:00+00,4A,FIREARM,M,20,E,"(39.3109,-76.5911)"
10,1,2020/03/15 02:00:00+00,7A,NA,F,43,N,"(39.3471,-76.6594)"
11,1,2020/03/15 02:23:00+00,4E,NA,M,32,SE,"(39.2825,-76.5935)"
12,1,2020/03/15 02:30:00+00,4E,NA,F,24,SE,"(39.2956,-76.5678)"
13,1,2020/03/15 02:30:00+00,4E,NA,M,37,E,"(39.3156,-76.6101)"
14,1,2020/03/15 02:39:00+00,4E,NA,M,70,NE,"(39.3611,-76.5538)"
15,1,2020/03/15 02:55:00+00,6J,NA,M,46,N,"(39.326,-76.6087)"
16,1,2020/03/15 03:00:00+00,7A,NA,NA,NA,SW,"(39.2684,-76.6878)"
17,1,2020/03/15 03:30:00+00,7A,NA,M,35,E,"(39.3148,-76.6056)"
18,1,2020/03/15 03:40:00+00,7A,NA,M,37,S,"(39.2493,-76.6167)"
19,1,2020/03/15 04:00:00+00,7A,NA,M,NA,S,"(39.2807,-76.6479)"
20,1,2020/03/15 04:04:00+00,4E,NA,M,18,SE,"(39.2915,-76.5681)"
