RowID,DayNum,CrimeDate,CrimeCode,Weapon,Gender,Age,District,Latitude,Longitude
1,1,3/15/2020,2A,2,F,30,S,39.2514,-76.615
2,1,3/15/2020,4E,1,F,34,C,39.29,-76.6059
3,1,3/15/2020,4E,1,F,22,S,39.2768,-76.6144
4,1,3/15/2020,4E,1,F,26,C,39.3068,-76.6203
5,1,3/15/2020,3AJF,3,M,57,E,39.3145,-76.6111
6,1,3/15/2020,6D,1,M,23,W,39.3073,-76.6383
7,1,3/15/2020,4B,4,M,25,N,39.3143,-76.6162
8,1,3/15/2020,9S,3,M,20,E,39.3109,-76.5916
9,1,3/15/2020,4A,3,M,20,E,39.3109,-76.5911
10,1,3/15/2020,7A,1,F,43,N,39.3471,-76.6594
11,1,3/15/2020,4E,1,M,32,SE,39.2825,-76.5935
12,1,3/15/2020,4E,1,F,24,SE,39.2956,-76.5678
13,1,3/15/2020,4E,1,M,37,E,39.3156,-76.6101
14,1,3/15/2020,4E,1,M,70,NE,39.3611,-76.5538
15,1,3/15/2020,6J,1,M,46,N,39.326,-76.6087
16,1,3/15/2020,7A,1,N,0,SW,39.2684,-76.6878
17,1,3/15/2020,7A,1,M,35,E,39.3148,-76.6056
18,1,3/15/2020,7A,1,M,37,S,39.2493,-76.6167
19,1,3/15/2020,7A,1,M,0,S,39.2807,-76.6479
20,1,3/15/2020,4E,1,M,18,SE,39.2915,-76.5681
21,1,3/15/2020,1A,3,M,64,SW,39.3029,-76.6863
22,1,3/15/2020,4D,5,F,53,W,39.31,-76.643
23,1,3/15/2020,6J,1,M,41,NW,39.3418,-76.6979
24,1,3/15/2020,7A,1,F,29,W,39.309,-76.6481
25,1,3/15/2020,6B,1,F,36,C,39.2928,-76.6226
26,1,3/15/2020,6E,1,F,34,NE,39.3154,-76.5785
27,1,3/15/2020,4E,1,F,47,S,39.247,-76.6287
28,1,3/15/2020,4E,1,F,34,E,39.2991,-76.5794
29,1,3/15/2020,6D,1,F,48,S,39.2806,-76.6473
30,1,3/15/2020,6D,1,F,55,SW,39.3048,-76.6655
31,1,3/15/2020,5B,1,F,51,C,39.3027,-76.6281
32,1,3/15/2020,4B,4,F,33,SE,39.2973,-76.5729
33,1,3/15/2020,3CF,3,N,0,SW,39.3108,-76.6757
34,1,3/15/2020,4E,1,F,0,W,39.3018,-76.6544
35,1,3/15/2020,4B,4,M,23,NE,39.3251,-76.5716
36,1,3/15/2020,5B,1,N,0,NW,39.3203,-76.6808
37,1,3/15/2020,7A,1,F,27,C,39.3112,-76.6188
38,1,3/15/2020,6E,1,N,27,NE,39.3678,-76.5699
39,1,3/15/2020,6J,1,M,39,E,39.2943,-76.586
40,1,3/15/2020,4E,1,F,47,SW,39.2813,-76.6508
41,1,3/15/2020,4D,5,F,43,W,39.3092,-76.6481
42,1,3/15/2020,9S,3,M,33,S,39.2868,-76.6337
43,1,3/15/2020,9S,3,F,28,S,39.2868,-76.6337
44,1,3/15/2020,3AK,4,M,19,SE,39.2933,-76.579
45,1,3/15/2020,6G,1,U,0,S,39.2742,-76.6279
46,1,3/15/2020,4C,2,F,20,W,39.3097,-76.6533
47,1,3/15/2020,6G,1,F,51,SE,39.296,-76.5806
48,1,3/15/2020,4E,1,M,32,C,39.2898,-76.6101
